name;description_short;description;category_id;image;price;is_served;on_homepage
Achuchuk;A refreshing and vibrant salad from Central Asia, achuchuk combines juicy tomatoes, crisp cucumbers, and aromatic herbs in a harmonious blend of flavors and textures.;"Achuchuk is a delightful culinary creation that originates from the diverse and flavorful traditions of Central Asian cuisine. This salad is renowned for its invigorating freshness and its ability to invigorate the palate with each bite.

The history of achuchuk is deeply intertwined with the agricultural practices of Central Asian communities. It reflects a commitment to using locally sourced ingredients, and it has been a staple in the region for generations, celebrated for its ability to brighten any meal.

The preparation of achuchuk involves expertly chopping ripe tomatoes and cucumbers, which are then tossed with fragrant herbs and dressed with zesty seasonings. The result is a colorful and enticing salad that serves as both a delicious appetizer and a refreshing side dish.

Today, achuchuk continues to be a beloved part of Central Asian cuisine, offering a burst of flavors that evoke the vibrant cultures and landscapes of the region. Whether enjoyed as a starter or as an accompaniment to a main course, achuchuk is a culinary journey through the heart of Central Asia's rich and diverse food heritage.";appetizer;dishes/appetizer_achuchuk.jpg;3.50 ;True;False
Baursaq assorti;An iconic Kazakh bread, served with a side of creamy sour cream, baursaq embodies sustenance and warm hospitality.;"Baursaq, often known as Kazakh bread, is a culinary treasure deeply embedded in Kazakhstan's cultural tapestry. This round, golden-fried bread symbolizes not only nourishment but also the heartfelt welcome extended to every guest.

With roots tracing back to the nomadic traditions of the Kazakh people, baursaq stands as a testament to resourcefulness and resilience in challenging landscapes. Beyond its role as bread, it represents the enduring spirit of survival.

Crafted with care, the dough is skillfully shaped and fried to achieve its signature texture and flavor. It graces tables during special occasions, marking moments of celebration and unity, and embodying the rich heritage of Kazakhstan.

Today, baursaq continues to be a cherished part of Kazakh cuisine, beckoning guests to savor the tastes and traditions of this remarkable land. Its pairing with sour cream creates a sensory journey that bridges history and contemporary culinary experiences.";appetizer;dishes/appetizer_baursaq assorti.jpg;4.50 ;True;False
Cheburek assorti;A savory delight of Central Asian cuisine, cheburek invites you to savor the irresistible combination of crispy pastry and a savory filling, filled with ground beef meat and aromatic spices.;"Hailing from the culinary traditions of Central Asia, cheburek is a beloved dish with a fascinating history. This golden-fried pastry boasts a flaky exterior that contrasts beautifully with the flavorful filling inside.

Cheburek's origins can be traced back to the nomadic communities of Central Asia, where resourcefulness in creating portable and delectable meals was essential. The tradition of crafting these savory turnovers has persisted through generations, symbolizing both sustenance and celebration.

The preparation of cheburek is a labor of love, with the dough skillfully rolled and folded around the filling before being fried to a perfect crispness. Often enjoyed during special occasions and gatherings, cheburek embodies the warm hospitality of Central Asian culture.

Today, this culinary treasure remains a cherished part of the region's cuisine, offering a taste of history and tradition with each bite. Whether filled with meat, vegetables, or other delectable ingredients, cheburek is a savory treat that transports diners to the heart of Central Asia's rich culinary heritage.";appetizer;dishes/appetizer_cheburek assorti.jpg;7.50 ;True;True
Samsa assorti;A savory delight of Qazaq and Central Asian cuisine, where flaky pastry embraces a succulent blend of meat and spices;"Samsa, a beloved staple of Kazakh and Central Asian cuisine, carries with it a remarkable history deeply intertwined with the region's cultural and culinary traditions.

Rooted in the nomadic way of life that defined the Kazakh people, Samsa is a testament to their resourcefulness in creating a portable and flavorful snack. Its origins can be traced back to the ancient Silk Road, where traders and travelers relished its savory goodness as they journeyed through the vast Central Asian steppes.

The dish consists of a delicate pastry filled with a savory mixture, typically a blend of succulent meat, onions, and fragrant spices. The pastry is expertly folded into various shapes, often resembling triangles or rectangles, and then baked to golden perfection. The result is a flaky, aromatic, and satisfying treat that has become a cultural icon.

Samsa has played a significant role in Kazakh hospitality, symbolizing warmth and generosity. It is often shared with guests as a gesture of welcome and camaraderie during special occasions and gatherings.

Today, Samsa continues to be a beloved dish, celebrated not only for its delicious flavors but also for its cultural significance. With each bite, diners embark on a culinary journey that connects them to the history, traditions, and flavors of Central Asia, making Samsa a true culinary treasure.";appetizer;dishes/appetizer_samsa assorti.jpg;7.50 ;True;False
Shuzhyq;A Kazakh delicacy featuring tender horse meat, expertly marinated and grilled to perfection, offering a tantalizing taste of nomadic heritage.;"Shyzhyq, a delectable Kazakh appetizer, is steeped in a rich culinary history that dates back centuries. Originating from the nomadic traditions of the Kazakh people, this dish is a testament to their resourcefulness and deep connection to their natural surroundings.

In the vast Kazakh steppes, where horses played a pivotal role in nomadic life, Shyzhyq emerged as a unique and cherished delicacy. The tradition of preparing and savoring horse meat has deep roots in Kazakh culture, symbolizing both sustenance and celebration.

Throughout history, the Kazakh people perfected the art of marinating and grilling horse meat, transforming it into a dish known for its tenderness and bold flavors. Passed down through generations, Shyzhyq continues to be a beloved appetizer, embodying the cultural heritage and culinary expertise of the Kazakh nomads.

Today, this time-honored dish remains a culinary treasure, inviting diners to experience the flavors and traditions of Kazakhstan while paying homage to its historical roots. With its rich history and exquisite taste, Shyzhyq offers a genuine glimpse into the heart and soul of Kazakh cuisine.




";appetizer;dishes/appetizer_shuzhyq.jpg;8.00 ;True;False
Chaq-chaq;The sweet noodle confection of Central Asia, is a joyful blend of fried dough, honey, and nostalgia, inspired by Tatar culinary heritage.;"Chaq-Chaq, though deeply ingrained in Kazakh culture, finds its roots in Tatar culinary traditions. This sweet delight is a testament to the way flavors transcend borders and become cherished staples in new regions.

To craft Chaq-Chaq, thin strips of dough are rolled out and fried to a golden-brown crispiness. What truly transforms this dessert is the generous drizzle of golden honey, lending it sweetness and delightful stickiness. The addition of crushed nuts adds a delightful crunch to the chewy noodles, elevating the texture and taste.

While Chaq-Chaq started its journey in Tatar cuisine, it found a second home in Central Asia, where it evolved to become a symbol of joy, togetherness, and hospitality. It's a treat shared during celebrations and gatherings, embodying the spirit of camaraderie. Savor the simple yet heartwarming flavors of Chaq-Chaq and experience the delicious fusion of Tatar heritage and Central Asian tradition.";dessert;dishes/dessert_chaq-chaq.jpg;12.00 ;True;False
Kustil;Kustil, a dessert inspired by Tatar culinary heritage, finds new life in Central Asia with its crispy, sugary splendor.;"Kustil, known as Khvorost, owes its origins to Tatar cuisine, and its rich history is interwoven with Central Asian traditions. This sweet delight showcases the versatility of flavors that transcends cultural boundaries.

At its core, Kustil consists of thin strips of dough, deep-fried to perfection until they achieve a delightful golden crispiness. After frying, the dessert is generously dusted with powdered sugar, creating a delightful contrast between the crispy texture and sweet coating.

Kustil's journey is a testament to how culinary traditions evolve and flourish in new surroundings while preserving their cultural heritage. It offers a delicious bridge between Tatar roots and Central Asian warmth, inviting you to savor the crispy sweetness of a dessert that transcends borders.";dessert;dishes/dessert_kustil.jpg;10.00 ;True;False
Qazaq sweets;Explore the rich world of Kazakh sweets (including irimshik, zhent and navat), where tradition, artistry, and sweetness converge to create memorable delights.;"Irimshik is a classic Kazakh dessert, celebrated for its simple yet satisfying nature. This sweet curd dish is made by gently curdling milk and then straining it to achieve a velvety texture. Sugar and a touch of vanilla or other flavorings are added to enhance its sweetness.

Zhent, a cherished delight in Kazakh cuisine, showcases the artistry of pastry-making. This sweet treat consists of thin, flaky layers that envelop a delectable filling, typically composed of crushed nuts, sugar, and aromatic spices. The pastry is carefully folded and shaped, creating a distinctive appearance reminiscent of a flower.

Navat is a beloved traditional Kazakh candy, showcasing the nation's affinity for sweet delights. This confection is crafted from a blend of sugar, crushed nuts (often almonds or walnuts), and spices, creating a sweet and nutty flavor profile.";dessert;dishes/dessert_qazaq sweets.jpg;15.00 ;True;False
Sumalaq;A cherished Kazakh dessert, is a creamy and comforting delight with deep-rooted traditions in Central Asia.;"Sumalaq is a symbol of cultural richness and hospitality, often prepared to welcome guests and celebrate special occasions.

Sumalaq is crafted from wheat grains and milk, meticulously simmered to achieve a smooth and creamy consistency. The slow cooking process allows the wheat to soften, infusing the dessert with a delightful velvety texture. To enhance its sweetness, sugar or honey is added, providing a perfect balance to the rich, dairy flavors.

In Kazakhstan, Sumalaq holds a special place in the hearts of locals, and its preparation is a cherished tradition passed down through generations. ";dessert;dishes/dessert_sumalaq.jpg;10.00 ;True;False
Ayran;A testament to Central Asian refreshment, offering the cooling comfort of yogurt and a sip of tradition.;"Airan, is a cool and invigorating drink that reflects the culinary traditions of Kazakhstan and the broader Central Asian region. This yogurt-based beverage is a favorite choice for quenching thirst and providing refreshment, especially during hot summer days.

The preparation of Airan is delightfully simple. Fresh yogurt is thinned with water and seasoned with a pinch of salt, creating a drink that strikes the perfect balance between creamy and refreshing. Its tangy flavor profile is both cooling and satisfying, making it a popular choice to accompany meals or enjoyed on its own.

Sipping on Airan is an invitation to experience the cooling comforts of Central Asian tradition, one sip at a time, and to connect with the enduring spirit of Kazakh hospitality.";drink;dishes/drink_ayran.jpg;12.00 ;True;False
